specialid,title,description,url
785,"如何让孩子写出妙笔生花的作文,还是阅读","关于&quot;<em><b>妙笔生花</b></em>&quot;这个成语有个故事,说一个秀才梦到...据媒体报道,当年北京市文、<em><b>理科</b></em>近12万考生中,语文...的课不过是教师们自娱自乐的表演,对学生的<em><b>写作</b></em>没...",http://www.uu6u.com/show-6-3226-1.html
875,【华卓推荐】高考作文备考:怎样写好考试体作文?——2,"你参加这个考试,就必得按命题者的意图“申而论之”,这是考试体文章特点所决定了的。相关推荐看过<em><b>【华卓推荐】高考作文备考:怎样写好考试体作文?——2</b></em>...",http://www.uu6u.com/show-7-875-1.html
894,中原区举行2015年“我身边的雷锋”青少年演讲比赛,"“<em><b>我身边的雷锋</b></em>”<em><b>征文</b></em>活动的延续,近日,中原区关工委,区教体局团委、关工委在区青少年校外活动中心隆重举行了中原区教育系统“<em><b>我身边的雷锋</b></em>”<em><b>演讲比赛</b></em>...",http://www.uu6u.com/show-11-3158-1.html
894,学雷锋演讲稿雷锋是永恒的榜样,"寒假过后,我们迎来了新的学期,同时也迎来了全国上下学习<em><b>雷锋</b></em>精神的新高潮。<em><b>雷锋</b></em>的名字伴随着我们度过了四十多年的风风雨雨,每到三月,伴着徐徐的春风一次又一次的...",http://www.uu6u.com/show-13-34724-1.html
894,学雷锋演讲稿像雷锋那样,"人,一个有益于人民的人;在他们的悉心教导下,不知道有多少人走上了<em><b>成功</b></em>的道路...同学们,请允许我以<em><b>雷锋</b></em>的这句话作为这次<em><b>演讲</b></em>的结束语吧:人的生命是有限的,...",http://www.uu6u.com/show-13-20970-1.html
894,中药学院开展“雷锋精神伴我行”征文活动,"在教学A楼中药学院自习室开展了“<em><b>雷锋</b></em>精神伴我行”<em><b>的征文</b></em>活动,鼓励学生通过书写<em><b>雷锋</b></em>精神,将<em><b>雷锋</b></em>精神不断发扬光大,从一点一滴做起,从我做起,从<em><b>身边</b></em>...",http://www.uu6u.com/show-11-3378-1.html
945,今日英语快递:小学六年级英语作文(第二期),"<em><b>今日英语快递:小学六年级英语作文(第二期)</b></em>2015-06-2212:28:44作者:yuanhui点击:3月17日起,冠军外语微信公众平台每周二发布一个作文命题,欢迎同学们参与写作...",http://www.uu6u.com/show-13-945-1.html
945,小学六年级英语作文:Don’tbeagainst,<em><b>小学六年级英语作文:</b></em>Don’tbeagainst2015-09-0500:05:57作者:yuanhui点击:Don’tbeagainstthetrafficrulesIgotoschoolfromMondaytoFridayIgotoschoolbybikeat7...,http://www.uu6u.com/show-12-2628-1.html
945,2013年沈阳中考英语复习每日一练-优秀作文网,首页<em><b>小学作文</b></em>初中<em><b>作文</b></em>高中<em><b>作文</b></em>小考<em><b>作文</b></em>中考<em><b>作文</b></em>高考作文<em><b>作文</b></em>素材日记周记首页&gt;<em><b>作文</b></em>素材&gt;正文2013年沈阳中考<em><b>英语</b></em>复习每日一练...,http://www.uu6u.com/show-12-3643-1.html
945,【七彩快递049】七里河小学“学雷锋——温暖三月”主-优秀作文网,三<em><b>年级六</b></em>班学生主办的“学雷锋”手抄报和板报<em><b>六年级</b></em>三班“学雷锋”活动倡议书相关推荐看过【七彩<em><b>快递</b></em>049】七里河<em><b>小学</b></em>“学雷锋——温暖三月”主的人还在看...,http://www.uu6u.com/show-7-43-1.html
2073,【学校动态】我校举办公文写作及文档编辑知识讲座,"为提高学校整体<em><b>公文写作</b></em>水平,进一步规范学校<em><b>公文写作</b></em>和文档编辑,提高工作效率,4月7日下午16:20,由校工会组织举办的<em><b>公文写作</b></em>及文档编辑<em><b>知识讲座</b></em>在学校道德讲堂进行。...",http://www.uu6u.com/show-10-4902-1.html
2073,华南师范大学文学院第六届“一言而为天下法”公文写作,"华南师范大学文学院第六届“一言而为天下法”<em><b>公文写作</b></em>比赛赛前<em><b>讲座</b></em>成功举行2015年4月9日下午三时,华南师范大学文学院第六届“一言而为天下法”公文...",http://www.uu6u.com/show-6-3607-1.html
2073,事业单位考试公共基础知识—公文写作,"一、填空题:1、<em><b>公文</b></em>的标题中除___名称加书名号外,一般不加标点符号。2、<em><b>公文</b></em>的发文字号一般包括___、___一、填空题:1、<em><b>公文</b></em>的标题中除___名...",http://www.uu6u.com/show-6-1846-1.html
2073,【开讲了】“一言而为天下法”公文写作之陈妙云教授,"要体会<em><b>公文写作</b></em>的魅力,get到<em><b>公文写作</b></em>的<em><b>知识</b></em>,find...本次<em><b>讲座</b></em>特别邀请到人称广东高考作文权威“判官”...撰写的著作和教材主要有:《学术论文写作》《<em><b>基础</b></em>...",http://www.uu6u.com/show-8-700-1.html
2116,世界真奇妙之本月超逗逼产品大合集!【魅淘生活】,今天我们就来整理一下本月的逗逼产品大合集吧吧吧吧吧吧吧!...看过<em><b>世界真奇妙之本月超逗逼产品大合集!【魅淘生活】</b></em>的人还在看...,http://www.uu6u.com/show-11-2116-1.html
2204,【纪检监察】敬廉崇洁打造廉政校园文化,"为了培养学生<em><b>敬廉崇洁</b></em>的思想品质,皇姑区航空实验小学把<em><b>廉政</b></em>教育渗透到德育教育、素质教育活动中,通过开展一系列生动、有趣、符合学生身心特点的主题教育...",http://www.uu6u.com/show-7-2204-1.html
2725,实验小学“爱赏嘉定”之“明止堂﹒中国字砖陈列馆”参观-优秀...,"小小一块砖,藏着大学问。饱含着对中国传统文化的情怀,<em><b>嘉定</b></em>区<em><b>实验小学</b></em>各中队小干部一行50人于2015年3月26日前往“<em><b>明止堂﹒中国字砖陈列馆</b></em>”<em><b>参观</b></em>学习...",http://www.uu6u.com/show-7-2725-1.html
2845,duangduangduang太平剑桥豪情赠大,"<em><b>duang</b></em><em><b>duang</b></em><em><b>duang</b></em><em><b>太平剑桥豪情赠大</b></em>2015-09-1114:15:06作者:yuanhui点击:太平剑桥教育——专注于培养全优全能、情智双修、具有国际视野的领袖型中国少年,...",http://www.uu6u.com/show-8-2845-1.html
2845,Duang!Duang!Duang!《快乐作文》杂志,"<em><b>Duang</b></em>!<em><b>Duang</b></em>!<em><b>Duang</b></em>!《快乐作文》杂志2015-11-2418:15:31作者:yuanhui点击:亲爱的QQ糖们:《快乐作文》杂志的编辑们有来约稿啦!阳光明媚的春天里,你有什么...",http://www.uu6u.com/show-9-4647-1.html
2845,"清晨,这边风景独好","那个扫帚好大啊!有她的人那么高,每扫一下就会扬起又厚又高的灰尘。环卫工...池塘的梦L,O,V,E<em><b>Duang</b></em>!<em><b>Duang</b></em>!<em><b>Duang</b></em>!《快乐作文》杂志我的秋天梦想随行...",http://www.uu6u.com/show-13-4644-1.html
2845,2015中考英语考纲重!大!变!化!,"2015中考英语考纲重大变化<em><b>Duang</b></em>,<em><b>duang</b></em>,<em><b>duang</b></em>,2015年考纲已经下发一个月啦,大家知道最新考纲和去年有哪变化么?想知道2015年中考英语考试的趋势和方向...",http://www.uu6u.com/show-9-531-1.html
2845,【duang~】校就协第一届“就业自我观”征文大赛,"南信大校就协第一届主题征文大赛正式启动,让我们用文字谈谈对就业的看法,对未来职业的期待,为自己的未来勾勒一个明确的蓝图!...",http://www.uu6u.com/show-10-2881-1.html
2941,乔博教育集团慧性作文体验班“湖北省阳新站”报名进入倒-优秀...,"<em><b>乔博教育集团</b></em>定于4月4号至6号在<em><b>湖北省阳新</b></em>县风向标培训学校举办<em><b>慧性作文体验班</b></em>,由于此次了解,合作的人数比较多,为了保证课程的效果,请各校方提前做...",http://www.uu6u.com/show-9-2941-1.html
3620,【聚焦中高考】如何填志愿?晨报高考公益讲座给你答案,"<em><b>晨报</b></em>2015年<em><b>高考</b></em>系列<em><b>公益讲座</b></em>已拉开序幕,今年新疆<em><b>高考志愿填报</b></em>发生变革,由以前的估分<em><b>填志愿</b></em>,改为知分、知位、知线<em><b>填报志愿</b></em>,面对改革,考生该<em><b>如何</b></em>报<em><b>志愿?</b></em>...",http://www.uu6u.com/show-8-3620-1.html
3694,写景记叙文简快技巧,"写景记叙文<em><b>简快技巧</b></em>写景的作文也可以从两方面考虑,一是景物本身具有某方面的特征,另一种是作者对所写的景物都包含有一种主观的喜恶爱憎的情感。(一)从景物本身...",http://www.uu6u.com/show-10-2457-1.html
3694,“读后感”简快导写,"“读后感”<em><b>简快</b></em>导写甘肃金水习作要求读了文章、书籍有体会,有感想,把这些体会、...经常写读后感,可以提高阅读和作文的能力;还可以增长知识,提高认识<em><b>事物</b></em>的能力。...",http://www.uu6u.com/show-12-3403-1.html
4057,梦想家园-佳作网-中小学生写作社区,"<em><b>梦想家园</b></em>-<em><b>佳作网</b></em>-<em><b>中小学生写作社区</b></em>2015-10-2613:37:20作者:yuanhui点击:一直以来我就羡慕城市里的孩子,住着高楼,小区环境优美!哪里像我们这里:刮风时...",http://www.uu6u.com/show-9-4057-1.html
4057,最美-佳作网-中小学生写作社区,"总看见老师在操场上疲惫的身影,老师在终点鼓励着学生,让我们放飞<em><b>梦想</b></em>在跑道甚至...看过最美-<em><b>佳作网</b></em>-<em><b>中小学生写作社区</b></em>的人还在看【周末影院·26期提前...",http://www.uu6u.com/show-6-4467-1.html
4057,追梦-佳作网-中小学生写作社区,"追梦-<em><b>佳作网</b></em>-<em><b>中小学生写作社区</b></em>2015-10-1021:32:44作者:yuanhui点击:<em><b>梦想</b></em>,<em><b>梦想</b></em>就像北极星指引你前进的脚步。鸟儿的<em><b>梦想</b></em>,在蓝天中自由自在的翱翔,鱼儿的...",http://www.uu6u.com/show-10-3841-1.html
4057,美-佳作网-中小学生写作社区,"美-<em><b>佳作网</b></em>-<em><b>中小学生写作社区</b></em>2015-10-2121:45:40作者:yuanhui点击:大海好美,因为他收纳每一朵浪花,不论其清浊。蓝天好美,因为他收纳每一片云朵,不论...",http://www.uu6u.com/show-12-4013-1.html
4057,有梦就有希望-佳作网-中小学生写作社区,"有梦就有希望-<em><b>佳作网</b></em>-<em><b>中小学生写作社区</b></em>2015-10-3100:47:51作者:yuanhui点击:无事在书店闲逛,它总是摆在很显眼的位置。“人,最宝贵的是生命。生命...",http://www.uu6u.com/show-7-4156-1.html
4386,亲情鼓励我前行,"当你站在他身上时,你是否会感到那无边的压力像你的周围不停的<em><b>蔓延</b></em>,使你在那...洁白的玉盘中放着各种色态味俱全的水果,与<em><b>花香</b></em>一起,在我的学习生活中无时无...",http://www.uu6u.com/show-7-36552-1.html
4386,永远的初二,"但是,从未改变的是坚持,永恒<em><b>蔓延</b></em>的是爱。一阵阵的...胖胖的两位数消磨成弱不禁风的个位数,没有人会心...嗅着清新的空气和泥土中夹杂的<em><b>花香</b></em>,看夕阳下落,品...",http://www.uu6u.com/show-9-35883-1.html
4386,"流年,流年","当夜色悄然<em><b>蔓延</b></em>,寂静里,你伴着我寻找到了安慰,让我疲惫的倦容在欢笑中消失,带...你的笑颜在嘴角微微一弯,便可绽开一朵,<em><b>风中</b></em>亦有了淡淡的<em><b>花香</b></em>,娇艳的红花,吐...",http://www.uu6u.com/show-11-30039-1.html
4386,我成长的摇篮!,"随着时间的<em><b>蔓延</b></em>,一幕一幕美好的回忆始终在脑海中荡漾...七月的风无比温暖,你可曾熟悉这种味道;校园的树高...过眼泪,却伴着欢笑,我们踏着荆棘,却嗅得万里<em><b>花香</b></em>。...",http://www.uu6u.com/show-6-38168-1.html
4437,"【梵伊:婚姻】幸福婚姻的保鲜法则,简单又实用","<em><b>【梵伊:婚姻】幸福婚姻的保鲜法则,简单又实用</b></em>2015-11-1316:33:24作者:yuanhui点击:再美好的的爱情也有凋谢的一天,因此,婚姻保鲜很重要。婚姻保鲜,鲜花和钻石...",http://www.uu6u.com/show-8-4437-1.html
4839,别让人类的眼泪成为地球上最后一滴水,"人们将一大桶水从头上倾泻而下,在享受其带来凉爽的同时,却丝毫没有考虑到有人正因为缺水而痛不欲生。难道不感到羞耻吗?虽然<em><b>地球上</b></em>的水占了地球总面积的71%,...",http://www.uu6u.com/show-6-3999-1.html
4839,地球上两个人能相遇不容易,<em><b>地球上</b></em>两<em><b>个人</b></em>能相遇不容易chapter1。身边的人来来去去-渐渐的-我开始坚信-他们的出现是为了教会我<em><b>一个</b></em>道理-谁都是谁的过客-只是有些人留了一辈子...,http://www.uu6u.com/show-12-33439-1.html
4839,人类还将在地球上生活多久,"当2012年12月21日过去时,我们才知道这只不过是谣言而已,那么,人类究竟...看过人类还将在<em><b>地球上</b></em>生活多久的人还在看少年成长的烦恼不烦恼手挽手一...",http://www.uu6u.com/show-8-30893-1.html
5503,周村古城游记,"周村古城<em><b>游记国庆节</b></em>的时候,我参观了周村古商城,现在就来说说那里的故事吧。古城的大门是一座砖石砌成的牌坊,虽然不宏伟,斑驳的触感却令人感受到历史的痕迹。牌坊...",http://www.uu6u.com/show-7-34173-1.html
5503,浙西大峡谷游记-作文,"这次中秋和<em><b>国庆</b></em>8天长假,再加上全部高速公路免费,这都是史无前例的。经过全家商量,我们决定到浙西大峡谷去体验乡村生活。在高速上,车流如潮,我们花了4个小时才...",http://www.uu6u.com/show-8-50386-1.html
5503,"【旅行日记】VOL24:浮潜天堂,现实之境,海边之梦","那年我刚刚毕业,年幼无知的我,一心想着gapyear,辞职后,间隔年之前,便在<em><b>国庆</b></em>...又比如,我不还好好活着写着这篇<em><b>游记</b></em>嘛~\(≧▽≦)/~相关推荐看过【旅行日记...",http://www.uu6u.com/show-10-363-1.html
5525,古今唯美永恒,"高2013级10班黄彩霞美!这是用心灵才能看到的东西。——题记西施因她的美而名满天下,杨贵妃因她的美而千古流传,那么到底何为美?千百年来,世界已焕然一新,留...",http://www.uu6u.com/show-13-17939-1.html
5525,"美,无垠","它在等待我们的接近,等待我们去发现它的美丽<em><b>永恒</b></em>!她永远等不到黄昏,因为黄昏成了下一个黎明。相关推荐看过美,无垠的人还在看第一次烧菜激情澎湃的心所震撼了...",http://www.uu6u.com/show-12-3933-1.html
