specialid,title,description,url
451,【文学院x活动】宿舍文化节|惺惺相惜——室友情,"<em><b>惺惺相惜——室友情</b></em>南开大学第十届<em><b>宿舍文化节</b></em>之“南开好室友”报名开始啦!佛说:前世的五百次回眸,才换来今生一次擦肩而过我说:室友,我们前世定有多番“纠缠”,...",http://www.uu6u.com/show-9-451-1.html
452,"【意林体励志】用“贾玲:自黑到底,真才实学终有成”","<em><b>贾玲:</b></em>“<em><b>自黑</b></em>”<em><b>到底,真才实学终有成</b></em>□郭喜林生于湖北襄阳的贾玲,身为南方人,却更像北方人。你甚至在她身上看不到半点南方女子的内敛与娇羞,却满是...",http://www.uu6u.com/show-7-452-1.html
481,"【乐乐爱分享】给孩子的66首绕口令:练口才,训思维,","<em><b>【乐乐爱分享】给孩子的66首绕口令:练口才,训思维,</b></em>2015-05-2222:48:57作者:yuanhui点击:有一种简单有效的方法可以训练孩子的语言能力——绕口令。孩子对...",http://www.uu6u.com/show-6-481-1.html
552,厚博教育学校学习宝典六《如何培养学生良好的学习习惯》-优秀...,"习惯是一种看不见的力量,是在不知不觉当中养成的,<em><b>学生学习</b></em>成绩的好与坏,不仅与<em><b>学生的</b></em>智力有关,更重要的还是与<em><b>学生的良好学习习惯</b></em>有关。所以俗话说:“与其给...",http://www.uu6u.com/show-10-552-1.html
1285,孩子不良表现源于父母的五类教育,"很多<em><b>父母</b></em>在<em><b>教育孩子的</b></em>过程中,会发现<em><b>孩子</b></em>存在这样那样的<em><b>不良表现</b></em>,对于<em><b>孩子的</b></em>不足和错误,爸爸妈妈往往都是给予严厉的批评,有时甚至是打骂,这固然不是一...",http://www.uu6u.com/show-7-1285-1.html
1285,正直的爸爸,"<em><b>孩子不良表现</b></em><em><b>源于父母的五类教育</b></em>很多父母在教育孩子的过程中,会发现孩子存在这样那样的不良表现,对于孩子的不足和错误,爸爸妈妈往往都是给予严厉的批评,有时甚至是...",http://www.uu6u.com/show-8-48462-1.html
1285,【晨阳全优教育】---父母如何正确的夸孩子对孩,"当<em><b>孩子表现</b></em>好时,家长的第一反应就是“你真棒”,看起来既省事又符合鼓励为主的...看过【晨阳全优<em><b>教育</b></em>】---<em><b>父母</b></em>如何正确的夸<em><b>孩子</b></em>对孩的人还在看...",http://www.uu6u.com/show-9-1038-1.html
1285,如何教育孩子?是每位父母都会思考的问题,"如何<em><b>教育孩子</b></em>?是每位<em><b>父母</b></em>都会思考的问题。今天,印真<em><b>教育</b></em>带您了解一下家庭<em><b>教育</b></em>研究者、加拿大维多利亚大学社会心理学博士钟郁君总结的“妈妈教我的人生课”。看看您...",http://www.uu6u.com/show-13-2701-1.html
1764,"【卧龙新篇】“品经典,沐书香”征文朗诵比赛活动","湖北文理学院语委办即将举办一年一度的“<em><b>品经典,沐书香</b></em>”<em><b>征文朗诵比赛</b></em>。参赛对象为湖北文理学院全体在校学生;比赛分为<em><b>征文比赛</b></em>和朗诵比赛,<em><b>征文比赛</b></em>征集...",http://www.uu6u.com/show-6-1764-1.html
1903,名刊推荐——《2015高考作文素材》,"刊物简介:经过编辑们的精心努力,《<em><b>2015高考</b></em>作文<em><b>素材</b></em>》终于和您见面了。我们感谢读者朋友多年来对《青年文摘》的厚爱,你们的默默关注和支持,源源不断地...",http://www.uu6u.com/show-13-2526-1.html
2678,【笔仙课堂】教你如何决胜写景作文!,"<em><b>教你如何决胜写景作文</b></em>【精彩片段一】走进田野,那迎面扑来的油菜花香,令我陶醉不已:金黄金黄的颜色富贵极了;它们一丛挤着一丛,一簇挨着一簇,一个个黄澄澄的...",http://www.uu6u.com/show-12-2678-1.html
2678,【分享】全球各类顶尖电影500部大合辑!终于收集全了-优秀作文网,《盗走达芬奇》11、《88分钟》12、《万能钥匙》13、《<em><b>决胜</b></em>21点》14、《...《<em><b>笔仙</b></em>》6、《解剖学教室》7、《邪降1》、《邪降2》、《邪降3》8、《四人...,http://www.uu6u.com/show-11-2518-1.html
3219,《新时代艺术名家》推荐:著名画家苏继海---“黄河、,"<em><b>《新时代艺术名家》推荐:著名画家苏继海</b></em>---“<em><b>黄河</b></em>、2015-09-1807:25:10作者:yuanhui点击:艺术家简介:苏继海,男,1957年生,汉族,安徽省蚌埠市人,现居北京,...",http://www.uu6u.com/show-9-3219-1.html
3287,"去餐厅吃饭,你会用开水烫餐具吗?","广东人有个习惯,就是下馆子时,一定要<em><b>用开水</b></em>把<em><b>餐具</b></em>洗一遍,哪怕是用塑料膜包起来的所谓消毒<em><b>餐具</b></em>。外地的朋友经常对此行为很不屑,但是,只要你看了下面...",http://www.uu6u.com/show-7-3287-1.html
