specialid,title,description,url
1600,"“点燃读书热情,创建书香班级“:英文读书活动在北美","为此,<em><b>北美</b></em>高中教务处从去年9月一开学就向所有学生提出了“<em><b>点燃读书热情,创建书香班级</b></em>”的倡议,要求每位同学一学期至少阅读3本<em><b>英文</b></em>书籍,写出读后感,并通过演讲来表达...",http://www.uu6u.com/show-13-1600-1.html
1600,万众期待的“书香海电”读书送书活动开始啦!,"“<em><b>书香</b></em>海电”<em><b>读书</b></em>送书<em><b>活动</b></em>为了引导公司团员青年与经典为友,与博览同行,活跃思想,拓展眼界,促进青年个性特长发展<em><b>,创建</b></em>学习型团组织,根据《国网海宁市供电公司团委2015...",http://www.uu6u.com/show-12-3220-1.html
1600,【工会资讯】“书香·感悟·幸福”女职工读书征文活动开-优秀...,"帮助女职工多<em><b>读书</b></em>、读好书,用<em><b>书香</b></em>净化心灵,用感悟吸取智慧,用幸福凝聚力量,努力...要点》,联合天津港文化传播中心《天津港湾》在集团公司女职工中开展主题<em><b>读书活动</b></em>...",http://www.uu6u.com/show-12-4732-1.html
1600,【书香中庆】“爱阅读”读书赠书活动第二期读后感展示在-优秀...,"已发表作品的小伙伴,请将所需书名及您的详细联系方式,通过微信公众平台发送给我们,“爱阅读”<em><b>读书</b></em>赠书<em><b>活动</b></em>结束后,我们会将所赠书记送到您的手中,敬请期待!...",http://www.uu6u.com/show-7-2444-1.html
2445,"【写作指导】教小学生写作文的基本规律,家长、教师必读","然后对<em><b>学生作文</b></em>逐步提出较高的要求,这是“收”的意思。相关推荐看过<em><b>【写作指导】教小学生写作文的基本规律,家长</b></em>、<em><b>教师必读</b></em>的人还在看...",http://www.uu6u.com/show-10-2445-1.html
2445,"【鱼缸资讯】花若老师阅读与作文公开课下周六开课,家长-优秀作文网","主要内容:讲解看图写画的秘籍(<em><b>家长</b></em>孩子共同参与)花老师简介,来自某重点小学语文<em><b>教师,</b></em>从事小学语文教学十多年,对<em><b>小学生</b></em>阅读与<em><b>作文,</b></em>提高<em><b>小学生</b></em>阅读<em><b>写作</b></em>兴趣有着丰富的...",http://www.uu6u.com/show-7-1121-1.html
2445,"内牛满面~800字的小学生作文,让素未谋面的老师写了-优秀作文网","爱的举动已经感动了孩子,感动了同事,更感动了<em><b>家长</b></em>。...同样,小学<em><b>教师</b></em>严老师,用自己的随意和“不紧不慢”...满面~800字的<em><b>小学生作文,</b></em>让素未谋面的老师写了的...",http://www.uu6u.com/show-7-1674-1.html
2445,"【写作指导】别犯愁了,满分作文都这么写-优秀作文网","教出不怕<em><b>写作的</b></em>小孩很多<em><b>家长</b></em>在微信平台上给月芽儿歌<em><b>作文</b></em>留言,说<em><b>作文</b></em>成绩总是提高不了,每次都编好久才能凑够字数,怎么提分呀?别犯愁了,月芽儿歌<em><b>作文</b></em>告诉你,满分...",http://www.uu6u.com/show-13-3225-1.html
2445,【家长必读】适合高中家长的阅读书目-优秀作文网,"小编精心整理了一些适合<em><b>家长</b></em>阅读的书,放下手机,离开...2010年高考结束后,一位高中毕业班语文<em><b>教师</b></em>对中国妇女...誉为<em><b>家长</b></em>的教子指南、孩子的心灵导师和<em><b>学生的作文</b></em>...",http://www.uu6u.com/show-8-639-1.html
3111,【实习日记】在英国德勤运营咨询实习是怎样的体验?,"曾在联合国开发计划署担任项目研究员,<em><b>在英国德勤</b></em>管理<em><b>咨询</b></em>DelloitLLP、CarngieEndowmentforInternationalPeace中国分部、JPMorganFirstCapitalSecurities拥有<em><b>实习</b></em>...",http://www.uu6u.com/show-12-3111-1.html
