specialid,title,description,url
20,【学子天地】“为了母亲的微笑”演讲活动代表作(二),"<em><b>【学子天地】</b></em>“<em><b>为了母亲的微笑</b></em>”<em><b>演讲活动代表作(二)</b></em>2015-04-2022:17:35作者:yuanhui点击:妈妈,我想为您唱支歌仙桃荣怀学校初中部三6班刘雨珣有一个人,...",http://www.uu6u.com/show-13-20-1.html
93,【悦读·分享】刘春花:书的印迹——读《从“教课文”到,<em><b>书的印迹——读《从</b></em>“<em><b>教课文</b></em>”<em><b>到</b></em>“教语文”》有感<em><b>刘春花</b></em>工作室向我们推荐阅读《给教师的一百条新建议》和《从“<em><b>教课文</b></em>”<em><b>到</b></em>“教语文”》两本书。对《从<em><b>教课文</b></em>...,http://www.uu6u.com/show-13-93-1.html
186,2015中考英语作文万能句型(三):作文结尾句型,<em><b>2015中考英语作文万能句型(三):作文结尾句型</b></em>2015-04-2908:20:51作者:yuanhui点击:今天要为大家推荐的是英语作文中常会用到的结尾句型~~1、...,http://www.uu6u.com/show-10-186-1.html
186,2015重庆中考英语作文万能句型(三)-优秀作文网,<em><b>2015</b></em>重庆<em><b>中考英语作文万能句型(三)2015</b></em>-09-1807:28:55作者:yuanhui点击:今天要为大家推荐的是英语<em><b>作文</b></em>中常会用到的<em><b>结尾句型</b></em>~~1、Iwillconcludebysaying…...,http://www.uu6u.com/show-8-3293-1.html
186,【中学英语】2015中考英语作文万能句型(三)-优秀作文网,【中学英语】<em><b>2015中考英语作文万能句型(三)</b></em>2015-09-1807:20:25作者:yuanhui点击:今天要为大家推荐的是英语<em><b>作文</b></em>中常会用到的<em><b>结尾句型</b></em>~~1、...,http://www.uu6u.com/show-12-3135-1.html
186,2015中考英语作文万能句型30例-优秀作文网,"<em><b>句型</b></em>一the+est+名词+(that)+主词+haveever+seen(knownheardhadread,etc)themost+形容词+名词+(that)+<em><b>句型</b></em>一the+est+名词+(that)+主词+have...",http://www.uu6u.com/show-11-3660-1.html
186,2015中考英语作文万能句型-优秀作文网,<em><b>2015中考英语作文万能句型2015</b></em>-08-1823:01:49作者:yuanhui点击:七段首万能句子1关于……人们有不同的观点。一些人认为……Therearedifferentopinionsamong...,http://www.uu6u.com/show-9-2111-1.html
460,【免费领取】《安徒生童话》有声故事MP3(共77部),"生活中,儿童们都向往着有童话般的故事,快乐、美好、正义和邪恶...这一个个故事...看过<em><b>【免费领取】《安徒生童话》有声故事MP3(共77部)</b></em>的人还在看...",http://www.uu6u.com/show-9-460-1.html
460,免费领取:《安徒生童话》有声故事MP3(共77部),"因此,今天要和大家分享的是<em><b>《安徒生童话》有声故事MP3(共77部)</b></em>。活动主题<em><b>免费</b></em>送:<em><b>《安徒生童话》有声故事mp3(共77部)</b></em>活动目的为倡导亲子阅读的爸爸妈妈们选择通话...",http://www.uu6u.com/show-6-2629-1.html
873,【小荷快报】小荷作文2015年春季户外课通知,"尊敬的小荷家长:“等闲识得东风面,万紫千红总是春。”在诗意盎然的春天,<em><b>小荷作文</b></em>策划了本次<em><b>户外</b></em>踏青及烧烤活动。希望孩子们在活动中领略美好春天,和老师、伙伴们...",http://www.uu6u.com/show-13-1510-1.html
